site_id,unit_id,read_date,salinity_ppt,dissolved_oxygen_mg_l,ph,secchi_depth_m,water_depth_m,water_temp_c,air_temp_c,year,month
BAY,NAN,1994-01-03,1.3,11.7,7.3,0.4,0.4,5.9,8.0,1994,1
BAY,NAN,1994-01-31,1.5,12.0,7.4,0.2,0.35,3.0,2.6,1994,1
BAY,NAN,1994-02-07,1.0,10.5,7.2,0.25,0.6,5.9,7.6,1994,2
BAY,NAN,1994-02-23,1.0,10.1,7.4,0.35,0.5,10.0,2.7,1994,2
BAY,NAN,1994-02-28,1.0,12.6,7.2,0.2,0.4,1.6,0.0,1994,2
BAY,NAN,1994-03-07,1.0,9.9,7.1,0.2,0.9,9.7,15.2,1994,3
BAY,NAN,1994-03-14,0.5,10.4,7.2,0.25,0.75,9.8,10.1,1994,3
BAY,NAN,1994-03-28,1.0,9.2,7.1,0.15,0.95,16.1,22.1,1994,3
BAY,NAN,1994-04-04,1.0,9.2,7.2,0.25,0.75,15.0,13.5,1994,4
BAY,NAN,1994-04-11,1.0,8.6,7.3,0.2,0.75,15.7,13.0,1994,4
BAY,NAN,1994-04-18,1.0,8.8,7.6,0.2,0.7,17.5,16.6,1994,4
BAY,NAN,1994-04-25,1.0,10.0,7.9,0.2,0.5,19.3,22.1,1994,4
BAY,NAN,1994-05-02,1.3,9.8,7.5,0.2,0.65,16.1,13.0,1994,5
BAY,NAN,1994-05-09,1.0,10.1,7.9,0.25,0.75,18.8,19.5,1994,5
BAY,NAN,1994-05-16,1.0,8.2,7.8,0.25,0.8,22.1,22.3,1994,5
BAY,NAN,1994-05-23,1.0,10.8,9.1,0.05,0.05,21.7,24.3,1994,5
BAY,NAN,1994-05-30,1.0,8.7,8.5,0.35,0.8,22.3,22.7,1994,5
BAY,NAN,1994-06-06,1.0,9.4,8.6,0.35,0.8,23.8,25.7,1994,6
BAY,NAN,1994-06-13,1.2,10.4,9.0,0.35,0.8,27.9,26.9,1994,6
BAY,NAN,1994-06-20,1.5,9.8,9.0,0.35,0.7,29.5,30.5,1994,6
BAY,NAN,1994-06-27,1.5,7.3,8.1,0.25,1.2,25.5,27.9,1994,6
BAY,NAN,1994-07-03,2.0,10.7,9.0,0.4,0.9,28.5,28.0,1994,7
BAY,NAN,1994-06-25,2.0,11.0,9.4,0.5,0.9,30.5,28.5,1994,6
BAY,NAN,1994-08-01,2.0,10.7,9.2,0.45,0.75,29.0,25.5,1994,8
BAY,NAN,1994-08-08,2.0,10.2,9.2,0.4,0.55,22.0,21.5,1994,8
BAY,NAN,1994-08-15,2.3,6.9,8.8,0.45,0.9,24.5,20.0,1994,8
BAY,NAN,1994-08-22,2.0,9.1,9.1,0.45,0.9,27.0,24.5,1994,8
BAY,NAN,1994-08-29,2.3,9.8,9.3,0.45,0.75,27.0,27.0,1994,8
BAY,NAN,1994-09-05,2.5,8.6,8.5,0.2,1.2,17.0,17.0,1994,9
BAY,NAN,1994-09-12,2.5,7.9,8.4,0.35,0.6,21.0,19.0,1994,9
BAY,NAN,1994-09-19,2.5,8.2,8.1,0.45,0.6,20.5,21.5,1994,9
BAY,NAN,1994-09-26,2.25,6.9,8.1,0.45,0.8,23.0,23.0,1994,9
BAY,NAN,1994-10-10,2.5,8.4,8.1,0.45,0.5,17.0,17.0,1994,10
BAY,NAN,1994-10-24,2.5,7.4,7.6,0.35,0.85,18.0,19.0,1994,10
BAY,NAN,1994-11-07,2.5,9.0,7.3,0.2,0.5,15.0,15.0,1994,11
BAY,NAN,1994-11-28,2.8,9.4,7.7,0.25,0.65,13.0,17.5,1994,11
BAY,NAN,1994-12-12,2.5,11.4,6.9,0.35,0.4,5.0,5.0,1994,12
BAY,NAN,1994-12-29,3.0,10.4,6.9,0.15,0.4,8.0,9.5,1994,12
BAY,NAN,1989-05-11,,,7.5,0.3,0.9,17.0,,1989,5
BAY,NAN,1989-05-18,,12.0,7.5,0.2,0.6,17.5,,1989,5
BAY,NAN,1989-05-25,,,8.0,0.4,0.8,23.0,,1989,5
BAY,NAN,1989-06-01,,12.0,8.0,0.4,0.9,25.5,,1989,6
BAY,NAN,1989-07-11,,,8.5,0.3,0.9,28.5,,1989,7
BAY,NAN,1989-07-20,,1.6,9.0,0.3,0.9,30.0,,1989,7
BAY,NAN,1989-07-27,,6.2,9.0,0.3,0.8,27.0,,1989,7
BAY,NAN,1989-08-03,,5.8,9.5,0.2,0.7,25.0,,1989,8
BAY,NAN,1989-08-10,,3.2,9.0,0.2,0.3,21.5,,1989,8
BAY,NAN,1989-08-17,,7.3,9.0,0.2,0.8,28.0,,1989,8
BAY,NAN,1989-08-31,,7.1,9.0,0.2,0.8,28.0,,1989,8
BAY,NAN,1989-09-14,,6.0,7.5,0.3,0.9,26.0,,1989,9
BAY,NAN,1989-10-25,,7.8,8.5,0.2,0.5,15.0,,1989,10
BAY,NAN,1989-10-31,,,7.5,0.2,0.7,21.5,,1989,10
BAY,NAN,1989-11-20,,,8.0,0.2,1.0,8.5,,1989,11
BAY,NAN,1989-11-27,,10.3,7.5,0.2,0.6,9.0,,1989,11
BAY,NAN,1989-12-11,,10.2,7.0,0.2,0.4,3.0,,1989,12
BAY,NAN,1990-01-03,,11.9,7.5,0.2,0.6,3.0,,1990,1
BAY,NAN,1990-01-08,,10.8,7.5,0.2,0.4,7.0,,1990,1
BAY,NAN,1990-01-22,1.0,9.7,7.5,0.15,0.65,10.0,,1990,1
BAY,NAN,1990-01-30,,10.8,7.5,0.2,0.7,9.0,,1990,1
BAY,NAN,1990-02-07,3.4,10.8,7.5,0.2,0.6,10.0,,1990,2
BAY,NAN,1990-02-12,3.2,10.6,7.0,0.2,0.7,10.0,,1990,2
BAY,NAN,1990-02-20,4.2,11.6,7.5,0.15,0.39,5.0,,1990,2
BAY,NAN,1990-02-27,2.8,13.8,7.0,0.5,1.5,2.5,,1990,2
BAY,NAN,1990-03-05,2.9,11.6,7.0,0.2,0.4,7.0,,1990,3
BAY,NAN,1990-03-12,2.9,9.0,7.0,0.15,0.69,17.0,,1990,3
BAY,NAN,1990-03-19,2.8,7.8,7.0,0.22,0.92,15.0,,1990,3
BAY,NAN,1990-03-26,3.0,10.8,7.0,0.25,0.4,9.5,,1990,3
BAY,NAN,1990-04-02,1.8,9.6,8.0,0.15,0.7,5.0,,1990,4
BAY,NAN,1990-04-09,4.1,10.8,7.0,0.25,0.78,11.0,,1990,4
BAY,NAN,1990-04-16,2.5,9.7,7.0,0.25,0.72,15.0,,1990,4
BAY,NAN,1990-04-23,2.8,10.7,7.0,0.25,0.59,15.0,,1990,4
BAY,NAN,1990-04-30,3.2,10.0,7.0,0.88,1.3,18.0,,1990,4
BAY,NAN,1990-05-07,4.5,8.9,7.0,0.25,0.75,17.0,,1990,5
BAY,NAN,1990-05-14,3.7,8.4,7.0,0.32,1.0,20.0,,1990,5
BAY,NAN,1990-05-21,2.9,,7.0,0.25,0.99,22.0,,1990,5
BAY,NAN,1990-05-29,2.1,8.9,7.0,0.375,0.95,19.0,,1990,5
BAY,NAN,1990-06-04,3.5,6.9,7.0,0.4,1.22,24.0,,1990,6
BAY,NAN,1990-06-11,3.2,7.9,7.0,0.35,0.75,24.0,,1990,6
BAY,NAN,1990-06-16,3.2,7.7,7.0,0.32,0.62,23.5,,1990,6
BAY,NAN,1990-06-24,3.8,7.9,7.0,0.35,0.91,26.0,,1990,6
BAY,NAN,1990-07-02,3.7,7.8,7.0,0.35,0.78,24.0,,1990,7
BAY,NAN,1990-07-09,4.2,7.5,7.5,0.3,0.82,26.0,,1990,7
BAY,NAN,1990-07-16,3.9,7.5,7.0,0.375,1.25,26.5,,1990,7
BAY,NAN,1990-07-26,4.2,6.9,7.75,0.375,0.48,27.0,,1990,7
